,song_name,class,tempo,total_beats,average_beats,intensity,timbre,rhythm,pitch
1,Arabian3.mp3,0,92.28515625,86425,1093.987341772152,0.1398092232380752,1.0,0.0,0.2712014720894723
2,All's Fairy in Love and War.mp3,0,117.45383522727273,127178,1166.7706422018348,0.03630322772001847,0.2491062454097002,0.40288326845779016,0.28179221268649285
3,7th Realm.mp3,0,86.1328125,83431,1112.4133333333334,0.29798978418721295,0.4239726648225752,0.033523001342488236,0.11750573327107657
4,Arabian.mp3,0,99.38401442307692,126257,1275.3232323232323,0.18257154717991333,0.17230739552706684,0.6997447881507034,0.12498478726563535
5,Alone.mp3,0,123.046875,146548,1285.5087719298247,0.5265315958495033,0.0,0.8662388381337793,0.17533104324673943
6,Anywhere.mp3,0,123.046875,149069,1263.2966101694915,0.0,0.23654213693089832,0.7852798518121075,0.08835656761822823
7,Adventure.mp3,0,123.046875,138208,1191.448275862069,0.2824542670571027,0.32009100996869855,0.5234067222539943,1.0
8,Al Kharid.mp3,0,92.28515625,96121,1158.0843373493976,1.0,0.29819183742801625,0.23362101555848944,0.20260339090780843
9,Ambient Jungle.mp3,0,95.703125,115874,1363.2235294117647,0.01597899252977308,0.022584408796944424,1.0,0.0
10,Arabian2.mp3,0,135.99917763157896,168966,1270.421052631579,0.3706518057784582,0.08398292707846902,0.8820599671565252,0.13412391635911894
